Company Name,CIK,Filing Year,10-K URL,Assets,Revenues,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,Debt,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,GrossProfit,AssetsCurrent,AssetsNoncurrent,Fraud Label,Current Ratio,Debt Ratio,Profit Margin,Return on Assets,Operating Margin,Equity Ratio,Cash Ratio,log_Profit Margin,log_Cash Ratio,log_Operating Margin,log_Return on Assets,log_Equity Ratio,log_Debt Ratio,Clipped Current Ratio
IQVIA,1478242,2023,https://www.sec.gov/Archives/edgar/data/1478242/000147824223000044/iqv-20221231.htm,561.0,0.0,,0.0,1799.0,425.0,3316.0,5765.0,1216.0,1550.0,561.0,472.0,0,0.1691797346200241,0.7575757575757576,0.1073492330321496,3.5925394548063125,0.2233420892746644,10.276292335115864,0.3667068757539203,0.10196908096790831,0.3124041058927113,0.20158653081798458,1.5244331292093392,2.4227024983428977,0.5639354490799391,0.1691797346200241
Hormel Foods,48465,2022,https://www.sec.gov/Archives/edgar/data/48465/000004846522000051/hrl-20221030.htm,48041.0,0.0,239.0,0.0,1312607.0,8796.0,58801.0,7535284.0,982107.0,2164686.0,48041.0,283169.0,0,0.8170099147973674,0.1830936075435565,0.1073492330321496,0.0049749172581753,0.2233420892746644,156.85110634666222,16.702215948708357,0.10196908096790831,2.8736898265858435,0.20158653081798458,0.004962583247519828,5.0616522238274735,0.16813270912160716,0.8170099147973674
Hertz,47129,2020,https://www.sec.gov/Archives/edgar/data/47129/000165785320000007/hghthc201910-k.htm,689.0,9779.0,2.0,0.0,0.0,0.0,1186.0,0.2,865.0,0.0,0.0,689.0,1,0.4128622469233823,0.8947368421052632,0.0002045198895592,0.0029027576197387,0.2233420892746644,0.0002902757619738,0.7293423271500843,0.0002044989782177289,0.5477411785147098,0.20158653081798458,0.002898552754011275,0.00029023364011591105,0.6390799592896695,0.4128622469233823
3M,66740,2023,https://www.sec.gov/Archives/edgar/data/66740/000006674023000014/mmm-20221231.htm,0.0,34229.0,14.0,27690.0,6539.0,0.0,692.0,14722.0,0.0,0.0,456.0,4271.0,0,0.6589595375722543,0.8947368421052632,0.0004090099038826,3.5925394548063125,0.1910368401063426,23.16045044594509,1.275229357798165,0.000408926282132502,0.8220808639358385,0.17482422197398909,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.6589595375722543
"F5, Inc.",1048695,2020,https://www.sec.gov/Archives/edgar/data/1048695/000104869520000041/ffiv-20200930.htm,259506.0,0.0,307441.0,1550668.0,392267.0,390.0,321398.0,2232268.0,849556.0,1942935.0,259506.0,347447.0,0,0.8074287954498783,0.001502855425308,0.1073492330321496,1.1847163456721617,0.2233420892746644,8.601989934722125,2.643314519692096,0.10196908096790831,1.2928938496530513,0.20158653081798458,0.7814860012060064,2.261970361860139,0.0015017272682564978,0.8074287954498783
Nvidia,1045810,2023,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,791.0,26974.0,4368.0,11132.0,4224.0,1250.0,4120.0,22101.0,3389.0,15356.0,791.0,3820.0,0,0.1919902912621359,1.5802781289506953,0.1619337139467635,5.522123893805309,0.1565952398606065,27.940581542351453,0.8225728155339805,0.1500856120063584,0.6002491377563118,0.14548055110201108,1.875200073476996,3.365244815761339,0.9478971950421909,0.1919902912621359
"Valeant Pharmaceuticals International, Inc.",930184,2020,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
"Manitex International, Inc.",1302028,2020,https://www.sec.gov/Archives/edgar/data/1302028/000156459020009610/mntx-10k_20191231.htm,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
"Williams-Sonoma, Inc.",719955,2023,https://www.sec.gov/Archives/edgar/data/719955/000162828023009175/wsm-20230129.htm,31967.0,0.0,1127904.0,0.0,1498422.0,0.0,247594.0,1701051.0,367344.0,3677733.0,31967.0,116407.0,0,0.1291105600297261,0.8947368421052632,0.1073492330321496,35.283385991804046,0.2233420892746644,53.21271936684706,1.4836546927631526,0.10196908096790831,0.9097311418328684,0.20158653081798458,3.5913599503243208,3.9929155555788833,0.6390799592896695,0.1291105600297261
"SAExploration Holdings, Inc.",1514732,2023,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4128622469233823,0.8947368421052632,0.1073492330321496,3.5925394548063125,0.2233420892746644,23.16045044594509,1.275229357798165,0.10196908096790831,0.8220808639358385,0.20158653081798458,1.5244331292093392,3.1847170171786185,0.6390799592896695,0.4128622469233823
